two_theta_deg,experimental_intensity,fitted_intensity
0.80000000000000004,30366784,28264140.378685817
0.80200000000000005,30272868,23550276.322781675
0.80400000000000005,30171578,22826807.954216555
0.80600000000000005,30129704,26370100.293976307
0.80800000000000005,30003094,28421730.521981277
0.81000000000000005,29949994,29404626.390761968
0.81200000000000006,29861658,29907107.414152689
0.81400000000000006,29732566,30175437.983892489
0.81600000000000006,29651646,30313126.666100621
0.81800000000000006,29572968,30366784
0.82000000000000006,29440400,30357778.026224773
0.82200000000000006,29367062,30294561.180402588
0.82400000000000007,29278952,30177655.979635693
0.82600000000000007,29163154,30001482.627100442
0.82800000000000007,29069292,29754577.571521115
0.83000000000000007,28978250,29418816.60192338
0.83200000000000007,28816492,28967988.263567526
0.83400000000000007,28746798,28366268.81218905
0.83600000000000008,28641020,27568086.80219176
0.83800000000000008,28512180,26523210.260112025
0.84000000000000008,28411984,25195277.335506815
0.84200000000000008,28296278,23605962.296101756
0.84400000000000008,28160764,21906105.602426868
0.84600000000000009,28062674,20421549.740596041
0.84800000000000009,27940470,19554205.851219047
0.85000000000000009,27823566,19522342.712747898
0.85200000000000009,27695138,20202443.107779931
0.85400000000000009,27551322,21266611.562598065
0.85600000000000009,27407110,22413743.887161564
0.8580000000000001,27332134,23468841.687974382
0.8600000000000001,27171292,24364028.412041895
0.8620000000000001,27036876,25090698.606769547
0.8640000000000001,26927322,25664734.175962493
0.8660000000000001,26764146,26108488.016962804
0.8680000000000001,26634498,26443207.101113692
0.87000000000000011,26534340,26686537.82839201
0.87200000000000011,26335690,26852155.495474063
0.874,26197884,26950141.237500738
0.876,26099248,26987531.842825063
0.878,25922384,26968829.579061203
0.88,25821208,26896410.581509501
0.88200000000000001,25663394,26770829.543933958
0.88400000000000001,25506038,26591040.055123217
0.88600000000000001,25375050,26354558.143008381
0.88800000000000001,25260342,26057602.127798442
0.89000000000000001,25103370,25695249.768411648
0.89200000000000002,24969196,25261666.540084757
0.89400000000000002,24800764,24750477.903612446
0.89600000000000002,24647706,24155382.756564587
0.89800000000000002,24523138,23471129.67788722
0.90000000000000002,24395008,22694988.254005581
0.90200000000000002,24224950,21828816.526591197
0.90400000000000003,24101468,20881706.334825411
0.90600000000000003,23958928,19872925.937682152
0.90800000000000003,23803812,18834449.494937636
0.91000000000000003,23673366,17811856.975227818
0.91200000000000003,23503278,16862109.308996867
0.91400000000000003,23334362,16047141.540021382
0.91600000000000004,23221240,15423709.136124684
0.91800000000000004,23065040,15032066.984198164
0.92000000000000004,22908620,14887504.541524379
0.92200000000000004,22761210,14978097.876794567
0.92400000000000004,22599782,15269310.408295071
0.92600000000000005,22453444,15713071.728761533
0.92800000000000005,22319516,16257638.246152764
0.93000000000000005,22133550,16855297.525055535
0.93200000000000005,21965408,17466739.537437584
0.93400000000000005,21815830,18062415.54013994
0.93600000000000005,21647200,18621894.946907111
0.93800000000000006,21506258,19132247.398390796
0.94000000000000006,21340884,19586183.237947993
0.94200000000000006,21140454,19980356.781813841
0.94400000000000006,20989966,20313993.705429804
0.94600000000000006,20802186,20587862.736852087
0.94800000000000006,20628722,20803546.97663616
0.95000000000000007,20465096,20962950.560621608
0.95200000000000007,20266426,21067978.996513512
0.95400000000000007,20079732,21120342.588998582
0.95600000000000007,19911668,21121444.971729923
0.95800000000000007,19753084,21072329.978806365
0.96000000000000008,19556410,20973669.07970513
0.96200000000000008,19370732,20825778.452441067
0.96400000000000008,19187040,20628659.874919735
0.96600000000000008,19003552,20382063.399307456
0.96800000000000008,18844416,20085572.57656629
0.97000000000000008,18649058,19738715.024324961
0.97200000000000009,18453608,19341102.43874846
0.97400000000000009,18294414,18892604.639534689
0.97599999999999998,18100476,18393561.641667221
0.97799999999999998,17949634,17845035.645130757
0.97999999999999998,17776440,17249100.683906816
0.98199999999999998,17590040,16609160.927295616
0.98399999999999999,17424994,15930278.932246039
0.98599999999999999,17269258,15219482.7091894
0.98799999999999999,17099966,14486006.510197129
0.98999999999999999,16956278,13741407.494423745
0.99199999999999999,16782542,12999493.297836401
0.99399999999999999,16594423,12275999.721935473
0.996,16460411,11587978.706771448
0.998,16318177,10952897.039314846
1,16169274,10387502.500996718
1.002,16016001,9906575.1931748148
1.004,15861345,9521729.9136855304
1.006,15699214,9240452.0235007461
1.008,15580318,9065522.8000489641
1.01,15420137,8994923.4391252846
1.012,15258819,9022217.2614959069
1.014,15122635,9137323.4517818391
1.016,14973784,9327536.6775898002
1.018,14829463,9578627.5831258185
1.02,14698328,9875877.3194078151
1.022,14528953,10204942.089999428
1.024,14378005,10552494.664998433
1.026,14234984,10906635.260297045
1.028,14081057,11257096.443851056
1.03,13934467,11595284.15212358
1.032,13771037,11914201.841335703
1.034,13604663,12208301.323132884
1.036,13453597,12473295.962226508
1.038,13305318,12705962.721911786
1.04,13130820,12903950.952060044
1.042,12963528,13065608.756726706
1.044,12802638,13189832.508078666
1.046,12616764,13275941.454695696
1.048,12474982,13323577.098521363
1.05,12303062,13332625.742012497
1.052,12114919,13303162.024458939
1.054,11955043,13235411.122953368
1.056,11783013,13129727.400510192
1.0580000000000001,11603901,12986587.506600728
1.0600000000000001,11452317,12806596.18066516
1.0620000000000001,11265984,12590503.21350237
1.0640000000000001,11091010,12339230.141633123
1.0660000000000001,10936746,12053905.2562874
1.0680000000000001,10778135,11735905.382173153
1.0700000000000001,10605714,11386902.611458203
1.0720000000000001,10444107,11008913.766097952
1.0740000000000001,10267733,10604349.822057996
1.0760000000000001,10102166,10176061.897201378
1.0780000000000001,9977484,9727379.7412278075
1.0800000000000001,9818975,9262138.061505612
